EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	21:12:41	0	0.1000	4.882345944584142		_	_	_	_	2.025489568710327	0.7926	0.7704	0.6411	0.7813	_	0.7847	0.7676	0.634	0.7761
1	22:20:13	0	0.1000	2.610337458432097		_	_	_	_	1.7542953491210938	0.8025	0.7914	0.6624	0.7969	_	0.7954	0.789	0.6559	0.7922
2	23:27:25	0	0.1000	2.2405688072710324		_	_	_	_	1.4763755798339844	0.8336	0.821	0.7054	0.8273	_	0.8288	0.8189	0.7005	0.8238
3	00:34:47	0	0.1000	2.0471533147588588		_	_	_	_	1.3807834386825562	0.8419	0.8314	0.7192	0.8366	_	0.8371	0.8291	0.7139	0.8331
4	01:41:06	0	0.1000	1.918798614753411		_	_	_	_	1.364290475845337	0.8367	0.8382	0.7204	0.8374	_	0.8319	0.8358	0.7151	0.8338
5	02:47:41	0	0.1000	1.8411651419793669		_	_	_	_	1.2592753171920776	0.8497	0.8431	0.7337	0.8464	_	0.843	0.839	0.7256	0.841
6	03:53:37	0	0.1000	1.766711960913568		_	_	_	_	1.2948001623153687	0.8458	0.8498	0.7358	0.8478	_	0.8432	0.8501	0.734	0.8466
7	04:59:53	0	0.1000	1.709888019272873		_	_	_	_	1.2121362686157227	0.8532	0.8557	0.7458	0.8544	_	0.8488	0.8519	0.7396	0.8503
8	06:05:49	0	0.1000	1.6757852389684986		_	_	_	_	1.1479253768920898	0.8606	0.8536	0.75	0.8571	_	0.8574	0.8523	0.7465	0.8548
9	07:14:13	0	0.1000	1.6376767200555813		_	_	_	_	1.18478524684906	0.8561	0.8577	0.7497	0.8569	_	0.8523	0.8551	0.7447	0.8537
10	08:20:58	0	0.1000	1.6099660612366207		_	_	_	_	1.1531994342803955	0.8627	0.8538	0.7517	0.8582	_	0.8564	0.8503	0.7442	0.8533
11	09:28:24	0	0.1000	1.58051043572796		_	_	_	_	1.1315535306930542	0.8581	0.8636	0.7557	0.8608	_	0.8529	0.8594	0.7484	0.8561
12	10:36:07	0	0.1000	1.5564059646871873		_	_	_	_	1.1164950132369995	0.8622	0.862	0.7576	0.8621	_	0.8581	0.8594	0.7524	0.8587
13	11:43:56	0	0.1000	1.5108579195293066		_	_	_	_	1.1669890880584717	0.8493	0.8643	0.7494	0.8567	_	0.8465	0.8617	0.7453	0.854
14	12:52:01	0	0.1000	1.5083492193395291		_	_	_	_	1.110116958618164	0.8728	0.8554	0.7606	0.864	_	0.8676	0.8503	0.7527	0.8589
15	14:00:07	0	0.1000	1.4961482772431336		_	_	_	_	1.0808730125427246	0.8725	0.8634	0.7667	0.8679	_	0.8684	0.8597	0.7606	0.864
16	15:08:50	0	0.1000	1.4779392702212368		_	_	_	_	1.0845316648483276	0.8604	0.868	0.7608	0.8642	_	0.8563	0.8647	0.7551	0.8605
17	16:16:32	0	0.1000	1.4608180431279636		_	_	_	_	1.053940773010254	0.8705	0.8619	0.7639	0.8662	_	0.8667	0.8587	0.7586	0.8627
18	17:24:16	0	0.1000	1.4396923350220188		_	_	_	_	1.0785207748413086	0.8652	0.8717	0.7675	0.8684	_	0.8599	0.8683	0.7607	0.8641
19	18:31:13	0	0.1000	1.4264504797809925		_	_	_	_	1.0681159496307373	0.8658	0.8636	0.7616	0.8647	_	0.8592	0.8577	0.752	0.8584
20	19:38:08	0	0.1000	1.4182967501200252		_	_	_	_	1.0438040494918823	0.8705	0.8683	0.769	0.8694	_	0.8659	0.8637	0.7618	0.8648
21	20:45:17	0	0.1000	1.4136269210086054		_	_	_	_	1.0475136041641235	0.867	0.8723	0.7694	0.8696	_	0.8618	0.8692	0.7628	0.8655
22	21:52:31	0	0.1000	1.3991703092941814		_	_	_	_	1.0496010780334473	0.8746	0.8658	0.7703	0.8702	_	0.8709	0.864	0.7659	0.8674
23	22:59:57	0	0.1000	1.3875764466520697		_	_	_	_	1.0497331619262695	0.8727	0.8705	0.7724	0.8716	_	0.8688	0.8696	0.7687	0.8692
24	00:06:56	0	0.1000	1.3724807977205367		_	_	_	_	1.0464777946472168	0.8676	0.8727	0.7702	0.8701	_	0.8645	0.8696	0.7653	0.867
25	01:13:16	0	0.1000	1.3658924405157655		_	_	_	_	1.0397478342056274	0.8741	0.8677	0.7714	0.8709	_	0.8715	0.866	0.768	0.8687
26	02:19:58	0	0.1000	1.3542491430360009		_	_	_	_	1.0154273509979248	0.8797	0.8656	0.774	0.8726	_	0.8765	0.8635	0.7698	0.87
27	03:25:49	0	0.1000	1.3413292013194773		_	_	_	_	1.0566011667251587	0.8655	0.8758	0.7709	0.8706	_	0.8624	0.874	0.767	0.8682
28	04:31:43	0	0.1000	1.3320992727633045		_	_	_	_	1.0341501235961914	0.8699	0.876	0.7745	0.8729	_	0.8667	0.8736	0.7702	0.8701
29	05:37:18	0	0.1000	1.3249347011832264		_	_	_	_	1.0256768465042114	0.8798	0.8661	0.7744	0.8729	_	0.8753	0.8639	0.7693	0.8696
30	06:42:47	0	0.1000	1.324418866436577		_	_	_	_	1.0236084461212158	0.8796	0.8665	0.7746	0.873	_	0.8778	0.8653	0.7723	0.8715
31	07:49:11	0	0.1000	1.317334420578485		_	_	_	_	1.0391751527786255	0.8693	0.8752	0.7735	0.8722	_	0.8659	0.8744	0.7701	0.8701
32	08:56:02	0	0.1000	1.3024231716582393		_	_	_	_	1.0240113735198975	0.8721	0.8736	0.7744	0.8728	_	0.8676	0.8719	0.7695	0.8697
33	10:02:46	0	0.1000	1.3094212565237249		_	_	_	_	1.0438671112060547	0.8705	0.8804	0.7784	0.8754	_	0.8671	0.8784	0.7742	0.8727
34	11:10:28	1	0.1000	1.3006185073979983		_	_	_	_	1.0215439796447754	0.8767	0.8698	0.775	0.8732	_	0.8745	0.8685	0.7722	0.8715
35	12:18:32	0	0.1000	1.295129983021783		_	_	_	_	1.0305233001708984	0.8767	0.8727	0.7773	0.8747	_	0.8736	0.8707	0.7733	0.8721
36	13:26:26	0	0.1000	1.2785413630980347		_	_	_	_	1.014938235282898	0.881	0.8686	0.7774	0.8748	_	0.8775	0.8677	0.774	0.8726
